,solar_system_name,planet_discovery_method,planet_orbital_inclination,planet_density,right_ascension,declination,host_temperature,host_mass,host_radius
3653,Kepler-891,Transit,,,19h24m20.11s,+40d21m18.9s,5887.0,1.06,1.07
3654,Kepler-892,Transit,,,18h52m31.11s,+43d53m17.7s,4747.0,0.75,0.72
3655,Kepler-893,Transit,,,18h59m51.13s,+43d54m46.8s,5820.0,1.0,0.99
3656,Kepler-894,Transit,,,19h14m56.18s,+46d56m21.8s,5603.0,0.87,0.85
3657,Kepler-895,Transit,,,19h17m09.76s,+51d24m32.0s,4315.0,0.65,0.61
3658,Kepler-896,Transit,,,18h49m45.40s,+43d44m04.1s,5262.0,0.84,0.81
3659,Kepler-897,Transit,,,19h22m20.84s,+51d41m45.0s,5839.0,1.03,1.04
3660,Kepler-898,Transit,,,19h06m20.49s,+46d52m15.3s,4223.0,0.65,0.62
3661,Kepler-899,Transit,,,19h49m55.82s,+40d40m50.8s,5595.0,0.93,0.91
3662,Kepler-9,Transit,88.982,0.42,19h02m17.76s,+38d24m03.2s,5774.0,1.02,0.96
3663,Kepler-9,Transit,89.188,0.31,19h02m17.76s,+38d24m03.2s,5774.0,1.02,0.96
3664,Kepler-9,Transit,,,19h02m17.76s,+38d24m03.2s,5774.0,1.02,0.96
3665,KOI-351,Transit,89.2,,18h57m44.04s,+49d18m18.6s,6080.0,1.2,1.2
3666,Kepler-900,Transit,,,19h44m42.55s,+46d59m56.5s,4836.0,0.78,0.73
3667,Kepler-901,Transit,,,19h24m36.71s,+40d53m15.0s,4184.0,0.59,0.57
3668,Kepler-902,Transit,,,19h18m55.61s,+46d57m13.8s,5647.0,0.95,0.93
3669,Kepler-903,Transit,,,19h15m05.04s,+40d39m51.0s,5682.0,0.98,0.97
3670,Kepler-903,Transit,,,19h15m05.04s,+40d39m51.0s,5682.0,0.98,0.97
3671,Kepler-904,Transit,,,19h15m17.50s,+40d23m20.6s,6160.0,1.16,1.25
3672,Kepler-905,Transit,,,19h20m12.27s,+46d42m48.1s,5461.0,0.95,0.86
3673,Kepler-906,Transit,,,19h25m37.33s,+40d07m31.8s,6035.0,1.06,1.02
3674,Kepler-907,Transit,,,19h01m54.38s,+41d37m57.9s,6106.0,1.08,1.38
3675,Kepler-908,Transit,,,19h41m17.40s,+39d22m35.3s,5973.0,1.11,1.12
3676,Kepler-909,Transit,,,19h18m01.53s,+45d22m15.6s,6154.0,1.17,1.23
3677,Kepler-91,Transit,69.68,0.4,19h02m41.49s,+44d07m00.2s,4550.0,1.31,6.3
3678,Kepler-910,Transit,,,19h44m11.37s,+42d44m34.8s,6230.0,1.26,1.5
3679,Kepler-911,Transit,,,19h54m21.40s,+40d45m02.5s,6112.0,1.34,1.99
3680,Kepler-912,Transit,,,19h52m26.69s,+41d45m30.0s,5998.0,1.07,1.11
3681,Kepler-913,Transit,,,19h50m19.95s,+41d57m08.8s,4687.0,0.63,0.61
3682,Kepler-914,Transit,,,19h21m38.88s,+44d53m57.6s,5877.0,1.1,1.15
3683,Kepler-915,Transit,,,19h22m22.10s,+45d44m13.7s,6173.0,1.21,1.38
3684,Kepler-916,Transit,,,19h23m56.00s,+45d58m23.9s,5248.0,0.85,0.81
3685,Kepler-917,Transit,,,19h56m12.30s,+47d56m57.4s,5418.0,0.8,0.76
3686,Kepler-918,Transit,,,19h52m48.17s,+48d16m04.2s,6028.0,1.11,1.14
3687,Kepler-919,Transit,,,19h52m27.55s,+48d29m39.9s,6113.0,1.15,1.21
3688,Kepler-92,Transit,,,19h16m20.65s,+41d33m46.6s,5883.0,,1.53
3689,Kepler-92,Transit,,,19h16m20.65s,+41d33m46.6s,5883.0,,1.53
3690,Kepler-92,Transit,,,19h16m20.65s,+41d33m46.6s,5883.0,,1.53
3691,Kepler-920,Transit,,,18h57m11.27s,+49d09m31.2s,5403.0,0.89,0.85
3692,Kepler-920,Transit,,,18h57m11.27s,+49d09m31.2s,5403.0,0.89,0.85
3693,Kepler-921,Transit,,,18h58m27.89s,+49d11m26.9s,5663.0,0.93,0.91
3694,Kepler-922,Transit,,,18h58m55.55s,+49d31m59.5s,5671.0,0.95,0.93
3695,Kepler-923,Transit,,,19h36m41.06s,+40d03m18.6s,5988.0,1.11,1.26
3696,Kepler-924,Transit,,,19h22m40.44s,+40d23m51.8s,6167.0,1.14,1.23
3697,Kepler-925,Transit,,,19h20m25.57s,+40d29m26.4s,4673.0,0.77,0.72
3698,Kepler-926,Transit,,,19h18m43.04s,+40d42m01.7s,5806.0,1.01,1.01
3699,Kepler-927,Transit,,,19h17m32.04s,+41d23m33.7s,5743.0,0.99,0.99
3700,Kepler-928,Transit,,,19h19m40.97s,+41d32m34.2s,4700.0,0.73,0.7
3701,Kepler-929,Transit,,,19h53m55.47s,+41d36m55.2s,5869.0,1.01,1.02
3702,Kepler-93,Transit,89.18,,19h25m40.39s,+38d40m20.5s,5669.0,1.09,0.98
3703,Kepler-93,Radial Velocity,,,19h25m40.39s,+38d40m20.5s,5669.0,1.09,0.98
3704,Kepler-930,Transit,,,19h53m15.47s,+42d14m50.8s,6335.0,1.25,1.4
3705,Kepler-931,Transit,,,19h48m31.83s,+42d46m05.7s,5241.0,0.86,0.81
3706,Kepler-932,Transit,,,19h47m48.49s,+43d16m19.1s,5331.0,0.87,0.84
3707,Kepler-933,Transit,,,19h18m16.48s,+43d32m19.0s,5346.0,0.87,0.84
3708,Kepler-934,Transit,,,19h21m09.23s,+43d45m19.2s,5001.0,0.81,0.77
3709,Kepler-935,Transit,,,19h40m05.20s,+46d37m09.2s,4830.0,0.78,0.73
3710,Kepler-936,Transit,,,19h34m18.66s,+46d44m10.8s,5482.0,0.92,0.89
3711,Kepler-937,Transit,,,19h36m40.51s,+46d42m52.6s,6095.0,1.15,1.22
3712,Kepler-937,Transit,,,19h36m40.51s,+46d42m52.6s,6095.0,1.15,1.22
3713,Kepler-938,Transit,,,19h39m09.39s,+46d59m02.4s,5533.0,0.92,0.89
3714,Kepler-939,Transit,,,19h35m27.75s,+47d01m36.6s,5471.0,0.88,0.85
3715,Kepler-94,Transit,,1.45,18h44m46.74s,+47d29m49.7s,4781.0,0.81,0.76
3716,Kepler-94,Radial Velocity,,,18h44m46.74s,+47d29m49.7s,4781.0,0.81,0.76
3717,Kepler-940,Transit,,,19h36m57.91s,+47d16m33.5s,5769.0,0.97,0.96
3718,Kepler-941,Transit,,,19h37m18.33s,+47d13m03.4s,5539.0,0.89,0.86
3719,Kepler-942,Transit,,,19h39m49.23s,+44d08m59.3s,4861.0,0.81,0.75
3720,Kepler-943,Transit,,,18h57m05.75s,+41d32m06.1s,5612.0,0.93,0.91
3721,Kepler-944,Transit,,,19h34m24.30s,+42d22m47.1s,5409.0,0.86,0.83
3722,Kepler-945,Transit,,,19h25m04.74s,+42d05m45.8s,5718.0,0.97,0.97
3723,Kepler-946,Transit,,,20h03m43.11s,+44d01m43.6s,5665.0,0.94,0.93
3724,Kepler-947,Transit,,,19h37m28.01s,+42d15m09.6s,5508.0,0.9,0.87
3725,Kepler-948,Transit,,,19h33m12.06s,+41d31m24.0s,5679.0,0.96,0.94
3726,Kepler-949,Transit,,,19h54m25.89s,+46d27m13.3s,5403.0,0.89,0.86
3727,Kepler-95,Transit,,1.71,18h57m55.79s,+44d23m52.9s,5699.0,1.08,1.41
3728,Kepler-950,Transit,,,19h11m49.58s,+41d07m49.2s,5857.0,1.02,1.02
3729,Kepler-951,Transit,,,19h10m57.01s,+38d06m52.4s,4834.0,0.77,0.73
3730,Kepler-952,Transit,,,19h01m29.27s,+41d59m38.1s,5730.0,1.0,0.99
3731,Kepler-953,Transit,,,19h15m53.20s,+44d37m28.3s,5416.0,0.95,0.99
3732,Kepler-953,Transit,,,19h15m53.20s,+44d37m28.3s,5416.0,0.95,0.99
3733,Kepler-954,Transit,,,19h43m26.25s,+47d56m22.2s,4990.0,0.82,0.76
3734,Kepler-955,Transit,,,19h13m53.15s,+40d16m11.3s,5350.0,0.89,0.84
3735,Kepler-956,Transit,,,19h30m07.39s,+49d03m42.1s,6040.0,1.1,1.15
3736,Kepler-957,Transit,,,19h20m37.52s,+48d49m08.4s,4963.0,0.81,0.75
3737,Kepler-958,Transit,,,19h09m01.60s,+46d04m00.4s,5421.0,0.91,0.86
3738,Kepler-959,Transit,,,19h28m41.08s,+40d48m41.0s,7005.0,1.6,2.01
3739,Kepler-96,Transit,,2.26,19h48m16.71s,+40d31m30.5s,5690.0,1.0,1.02
3740,Kepler-960,Transit,,,18h45m49.72s,+46d44m47.3s,4755.0,0.77,0.72
3741,Kepler-961,Transit,,,18h48m08.52s,+43d37m52.6s,5582.0,0.96,0.9
3742,Kepler-962,Transit,,,19h41m15.15s,+46d14m15.0s,5478.0,0.93,0.86
3743,Kepler-963,Transit,,,19h47m00.71s,+45d02m28.0s,5461.0,0.91,0.87
3744,Kepler-964,Transit,,,19h41m12.02s,+40d33m23.7s,5427.0,0.93,0.84
3745,Kepler-965,Transit,,,19h54m03.68s,+41d53m28.3s,5886.0,1.05,1.15
3746,Kepler-966,Transit,,,19h49m04.94s,+50d07m18.5s,5840.0,1.02,1.02
3747,Kepler-967,Transit,,,19h06m13.94s,+38d24m19.3s,5178.0,0.84,0.8
3748,Kepler-967,Transit,,,19h06m13.94s,+38d24m19.3s,5178.0,0.84,0.8
3749,Kepler-968,Transit,,,19h02m24.61s,+50d06m43.3s,4598.0,0.76,0.7
3750,Kepler-968,Transit,,,19h02m24.61s,+50d06m43.3s,4598.0,0.76,0.7
3751,Kepler-969,Transit,,,19h13m29.40s,+47d56m00.8s,5214.0,0.92,0.82
3752,Kepler-969,Transit,,,19h13m29.40s,+47d56m00.8s,5214.0,0.92,0.82
3753,Kepler-97,Transit,,5.44,19h09m18.39s,+48d40m24.4s,5779.0,0.94,0.98
3754,Kepler-97,Radial Velocity,,,19h09m18.39s,+48d40m24.4s,5779.0,0.94,0.98
3755,Kepler-970,Transit,,,19h18m30.06s,+40d42m31.4s,4511.0,0.7,0.67
3756,Kepler-971,Transit,,,18h56m22.70s,+41d10m58.2s,5431.0,0.88,0.85
3757,Kepler-972,Transit,,,19h43m18.89s,+43d25m31.8s,6146.0,1.15,1.22
3758,Kepler-973,Transit,,,19h20m39.66s,+49d55m25.9s,5213.0,0.86,0.78
3759,Kepler-974,Transit,,,19h00m03.14s,+40d13m14.7s,3687.0,0.52,0.5
3760,Kepler-975,Transit,,,19h22m11.65s,+38d29m43.0s,4897.0,0.8,0.75
3761,Kepler-976,Transit,,,19h19m28.71s,+46d43m46.9s,5232.0,0.87,0.83
3762,Kepler-977,Transit,,,19h26m03.89s,+42d14m53.5s,5315.0,0.87,0.83
3763,Kepler-978,Transit,,,19h06m50.57s,+43d02m36.4s,6002.0,1.07,1.09
3764,Kepler-979,Transit,,,20h01m29.11s,+46d24m29.8s,5310.0,0.87,0.83
3765,Kepler-98,Transit,,2.18,19h02m38.80s,+37d57m52.2s,5539.0,0.99,1.11
3766,Kepler-980,Transit,,,19h38m27.12s,+45d03m36.6s,5935.0,1.05,1.06
3767,Kepler-981,Transit,,,19h16m59.74s,+47d39m00.4s,5718.0,0.98,0.96
3768,Kepler-982,Transit,,,19h13m40.24s,+46d35m25.5s,6139.0,1.16,1.29
3769,Kepler-983,Transit,,,19h00m24.97s,+45d00m29.4s,6052.0,1.13,1.08
3770,Kepler-984,Transit,,,19h47m50.13s,+46d23m38.9s,5610.0,0.96,0.93
3771,Kepler-985,Transit,,,19h20m34.63s,+44d02m59.8s,5434.0,0.91,0.85
3772,Kepler-986,Transit,,,19h32m22.56s,+42d53m47.2s,5642.0,0.96,0.98
3773,Kepler-987,Transit,,,19h17m38.66s,+46d07m51.1s,5637.0,0.97,0.91
3774,Kepler-988,Transit,,,19h22m50.01s,+42d14m14.1s,4005.0,0.55,0.53
3775,Kepler-989,Transit,,,18h46m19.90s,+47d14m01.1s,5074.0,0.82,0.78
3776,Kepler-99,Transit,,10.9,19h49m24.96s,+41d18m00.2s,4782.0,0.79,0.73
3777,Kepler-990,Transit,,,19h51m45.17s,+46d52m53.0s,5948.0,1.05,1.08
3778,Kepler-990,Transit,,,19h51m45.17s,+46d52m53.0s,5948.0,1.05,1.08
3779,Kepler-991,Transit,,,19h48m21.76s,+49d37m35.7s,4392.0,0.64,0.61
3780,Kepler-992,Transit,,,18h57m43.27s,+47d38m30.4s,4944.0,0.8,0.74
3781,Kepler-993,Transit,,,19h30m27.38s,+44d23m40.8s,3843.0,0.57,0.54
3782,Kepler-994,Transit,,,19h16m17.33s,+47d24m25.5s,3934.0,0.56,0.54
3783,Kepler-995,Transit,,,18h58m27.77s,+39d07m51.7s,5206.0,0.83,0.8
3784,Kepler-996,Transit,,,19h27m39.07s,+41d32m01.0s,6014.0,1.09,1.14
3785,Kepler-997,Transit,,,19h16m56.01s,+49d56m20.2s,6150.0,1.22,1.56
3786,Kepler-998,Transit,,,19h47m01.00s,+49d12m31.5s,6058.0,1.12,1.18
3787,Kepler-999,Transit,,,19h58m38.51s,+46d11m54.3s,6237.0,1.29,1.65
3788,KIC 10001893,Orbital Brightness Modulation,,,19h09m33.41s,+46d59m04.2s,27500.0,,
3789,KIC 10001893,Orbital Brightness Modulation,,,19h09m33.41s,+46d59m04.2s,27500.0,,
3790,KIC 10001893,Orbital Brightness Modulation,,,19h09m33.41s,+46d59m04.2s,27500.0,,
3791,KIC 10525077,Transit,89.861,,19h09m30.74s,+47d46m16.3s,6091.0,1.01,1.01
3792,KIC 3558849,Transit,89.973,,19h39m47.96s,+38d36m18.7s,6175.0,0.98,1.01
3793,KIC 5095269,Eclipse Timing Variations,105.83,,19h22m12.47s,+40d14m06.1s,,1.21,
3794,KIC 5437945,Transit,89.904,,19h13m53.97s,+40d39m04.9s,6340.0,1.07,1.24
3795,KIC 5951458,Transit,89.799,,19h15m57.98s,+41d13m22.9s,6258.0,0.98,1.52
3796,KIC 7917485,Pulsation Timing Variations,,,19h57m44.30s,+43d37m57.4s,7067.0,1.63,
3797,KOI-7892,Transit,89.3,,18h49m30.61s,+44d41m40.5s,6474.0,1.04,1.26
3798,KOI-7892,Transit,89.701,,18h49m30.61s,+44d41m40.5s,6474.0,1.04,1.26
3799,KIC 9663113,Transit,89.768,,19h48m10.90s,+46d19m43.3s,6065.0,0.98,1.03
3800,KMT-2016-BLG-0212L,Microlensing,,,17h53m45.42s,-29d05m12.80s,,0.48,
3801,KMT-2016-BLG-1107L,Microlensing,,,17h45m40.26s,-26d01m54.48s,,0.09,
3802,KMT-2016-BLG-1397L,Microlensing,,,18h10m39.51s,-24d51m27.9s,,0.45,
3803,KMT-2016-BLG-1820L,Microlensing,,,17h55m03.54s,-29d31m00.9s,,0.04,
3804,KMT-2016-BLG-1836L,Microlensing,,,17h53m00.08s,-30d02m26.70s,,0.49,
3805,KMT-2016-BLG-2142L,Microlensing,,,17h52m26.88s,-29d23m04.4s,,0.07,
3806,KMT-2017-BLG-0165L,Microlensing,,,17h58m35.92s,-28d08m01.21s,,0.76,
3807,KMT-2017-BLG-1038L,Microlensing,,,17h44m41.02s,-25d08m34.91s,,0.37,
3808,KMT-2017-BLG-1146L,Microlensing,,,17h56m25.40s,-33d08m32.89s,,0.33,
3809,KMT-2018-BLG-0029L,Microlensing,,,17h37m52.67s,-27d59m04.92s,,1.14,
3810,KMT-2018-BLG-1292L,Microlensing,,,17h33m42.62s,-33d31m14.41s,,1.09,
3811,KMT-2018-BLG-1990L,Microlensing,,,17h53m44.49s,-22d09m09.14s,,0.09,
3812,KMT-2019-BLG-1339L,Microlensing,,,17h42m58.42s,-25d34m26.1s,,0.48,
3813,KMT-2019-BLG-1953L,Microlensing,,,17h56m27.90s,-28d12m04.00s,,0.31,
3814,KOI-12,Transit,,,19h49m48.90s,+41d00m39.6s,,1.5,1.4
3815,KOI-1257,Transit,89.66,2.1,19h24m54.04s,+44d55m38.6s,5520.0,0.99,1.13
3816,KOI-13,Transit,86.77,3.6,19h07m53.09s,+46d52m06.1s,7650.0,1.72,1.74
3817,KOI-142,Transit,90.97,1.29,19h24m35.54s,+40d40m09.9s,5466.0,0.99,0.9
3818,KOI-142,Transit,93.15,,19h24m35.54s,+40d40m09.9s,5466.0,0.99,0.9
3819,KOI-1599,Transit,89.78,,19h53m29.72s,+40d37m06.3s,,1.02,0.97
3820,KOI-1599,Transit,88.6,,19h53m29.72s,+40d37m06.3s,,1.02,0.97
3821,KOI-1783,Transit,89.441,0.56,19h17m21.94s,+46d59m17.7s,5922.0,1.08,1.14
3822,KOI-1783,Transit,,0.51,19h17m21.94s,+46d59m17.7s,5922.0,1.08,1.14
3823,KOI-217,Transit,89.8,,19h39m27.72s,+46d17m09.1s,5545.0,0.95,0.86
3824,KOI-351,Transit,89.4,,18h57m44.04s,+49d18m18.6s,6080.0,1.2,1.2
3825,KOI-351,Transit,89.68,,18h57m44.04s,+49d18m18.6s,6080.0,1.2,1.2
3826,KOI-351,Transit,89.71,,18h57m44.04s,+49d18m18.6s,6080.0,1.2,1.2
3827,KOI-351,Transit,89.79,,18h57m44.04s,+49d18m18.6s,6080.0,1.2,1.2
3828,KOI-351,Transit,89.77,,18h57m44.04s,+49d18m18.6s,6080.0,1.2,1.2
3829,KOI-351,Transit,89.8,,18h57m44.04s,+49d18m18.6s,6080.0,1.2,1.2
3830,KOI-351,Transit,89.6,,18h57m44.04s,+49d18m18.6s,6080.0,1.2,1.2
3831,KOI-3680,Transit,89.892,2.46,19h33m07.58s,+45d18m34.8s,5830.0,1.01,0.96
3832,KOI-55,Orbital Brightness Modulation,65.0,,19h45m25.47s,+41d05m33.9s,27730.0,0.5,0.2
3833,KOI-55,Orbital Brightness Modulation,65.0,,19h45m25.47s,+41d05m33.9s,27730.0,0.5,0.2
3834,KOI-94,Transit,89.3,10.1,19h49m19.93s,+41d53m28.0s,6182.0,1.28,1.52
3835,KOI-94,Transit,88.36,0.91,19h49m19.93s,+41d53m28.0s,6182.0,1.28,1.52
3836,KOI-94,Transit,89.871,0.363,19h49m19.93s,+41d53m28.0s,6182.0,1.28,1.52
3837,KOI-94,Transit,89.76,0.6,19h49m19.93s,+41d53m28.0s,6182.0,1.28,1.52
3838,KPS-1,Transit,83.2,1.31,11h00m40.18s,+64d57m50.5s,5165.0,0.89,0.91
3839,L 168-9,Transit,85.5,9.6,23h20m07.53s,-60d03m54.7s,3800.0,0.62,0.6
3840,L 98-59,Transit,,12.7,08h18m07.62s,-68d18m46.80s,3412.0,0.31,0.31
3841,L 98-59,Transit,,5.4,08h18m07.62s,-68d18m46.80s,3412.0,0.31,0.31
3842,L 98-59,Transit,,3.3,08h18m07.62s,-68d18m46.80s,3412.0,0.31,0.31
3843,LHS 1140,Transit,89.89,7.5,00h44m59.34s,-15d16m17.5s,3216.0,0.18,0.21
3844,LHS 1140,Transit,89.92,4.7,00h44m59.34s,-15d16m17.5s,3216.0,0.18,0.21
3845,LHS 1815,Transit,88.125,,06h04m20.36s,-55d18m46.8s,3643.0,0.5,0.5
3846,LHS 3844,Transit,88.5,,22h41m58.10s,-69d10m08.4s,3036.0,0.15,0.19
3847,LkCa 15,Imaging,50.0,,04h39m17.80s,+22d21m03.5s,,,
3848,LkCa 15,Imaging,50.0,,04h39m17.80s,+22d21m03.5s,,,
3849,LP 791-18,Transit,87.3,,11h02m45.96s,-16d24m22.29s,2960.0,0.14,0.17
3850,LP 791-18,Transit,89.55,,11h02m45.96s,-16d24m22.29s,2960.0,0.14,0.17
3851,LSPM J2116+0234,Radial Velocity,,,21h16m27.28s,+02d34m51.39s,3475.0,0.43,0.43
3852,LTT 1445 A,Transit,89.4,4.4,03h01m51.39s,-16d35m36.1s,3337.0,0.26,0.28
3853,LTT 3780,Transit,87.1,6.1,10h18m34.78s,-11d43m04.08s,3331.0,0.4,0.37
3854,LTT 3780,Transit,89.18,3.9,10h18m34.78s,-11d43m04.08s,3331.0,0.4,0.37
3855,LTT 9779,Transit,76.39,1.536,23h54m40.21s,-37d37m40.5s,5443.0,0.77,0.95
3856,Lupus-TR-3,Transit,88.3,1.4,15h30m18.62s,-42d58m47.7s,5000.0,0.87,0.82
3857,MASCARA-1,Transit,87.0,1.5,21h10m12.37s,+10d44m19.9s,7554.0,1.72,2.1
3858,MASCARA-4,Transit,88.5,,09h50m19.20s,-66d06m49.89s,7800.0,1.75,1.92
3859,MOA-2007-BLG-192L,Microlensing,,,18h08m03.80s,-27d09m00.3s,,0.06,
3860,MOA-2007-BLG-400L,Microlensing,,,18h09m41.98s,-29d13m27.0s,,0.3,
3861,MOA-2008-BLG-310L,Microlensing,,,17h54m14.53s,-34d46m41.0s,,0.21,
3862,MOA-2008-BLG-379L,Microlensing,,,17h58m49.44s,-30d11m49.0s,,0.56,
3863,MOA-2009-BLG-266L,Microlensing,,,17h48m01.95s,-35d00m19.5s,,0.56,
3864,MOA-2009-BLG-319L,Microlensing,,,18h06m58.13s,-26d49m10.9s,,0.38,
3865,MOA-2009-BLG-387L,Microlensing,52.0,,17h53m50.79s,-33d59m25.2s,,0.19,
3866,MOA-2010-BLG-073L,Microlensing,,,18h10m11.34s,-26d31m22.6s,,0.16,
3867,MOA-2010-BLG-117L,Microlensing,,,18h07m49.67s,-25d20m40.7s,,0.58,
3868,MOA-2010-BLG-328L,Microlensing,,,17h57m59.12s,-30d42m54.6s,,0.11,
3869,MOA-2010-BLG-353L,Microlensing,,,18h05m12.94s,-27d17m35.6s,,0.18,
3870,MOA-2010-BLG-477L,Microlensing,,,18h06m07.44s,-31d27m16.1s,5950.0,0.67,
3871,MOA-2011-BLG-028L,Microlensing,,,18h03m24.96s,-29d12m48.3s,,0.75,
3872,MOA-2011-BLG-262L,Microlensing,,,18h00m23.48s,-31d14m42.9s,,0.12,
3873,MOA-2011-BLG-291L,Microlensing,,,17h55m28.29s,-29d10m14.4s,,0.15,
3874,MOA-2011-BLG-293L,Microlensing,,,17h55m39.35s,-28d28m36.6s,,0.86,
3875,MOA-2011-BLG-322L,Microlensing,,,18h04m53.60s,-27d13m15.4s,,0.39,
3876,MOA-2012-BLG-006L,Microlensing,,,18h01m46.31s,-29d06m31.6s,,0.49,
3877,MOA-2012-BLG-505L,Microlensing,,,17h52m34.34s,-32d02m24.3s,,0.1,
3878,MOA-2013-BLG-605L,Microlensing,,,17h58m42.85s,-29d23m53.7s,,0.03,
3879,MOA-2015-BLG-337L,Microlensing,,,18h07m47.69s,-28d10m13.0s,,0.01,
3880,MOA-2016-BLG-227L,Microlensing,,,18h05m53.70s,-27d42m51.4s,,0.29,
3881,MOA-2016-BLG-319L,Microlensing,,,17h54m58.13s,-29d45m01.7s,,0.15,
3882,MOA-bin-1L,Microlensing,,,17h27m10.20s,-29d47m38.3s,,0.75,
3883,MOA-bin-29,Microlensing,,,17h57m30.23s,-29d44m11.63s,,0.03,
3884,mu Leo,Radial Velocity,,,09h52m45.82s,+26d00m25.0s,4538.2,1.5,11.4
3885,MXB 1658-298,Eclipse Timing Variations,,,17h02m06.54s,-29d56m44.1s,,1.98,
3886,NGC 2682 Sand 364,Radial Velocity,,,08h49m56.82s,+11d41m32.9s,4284.0,9.06,39.59
3887,NGC 2682 Sand 978,Radial Velocity,,,08h51m17.48s,+11d45m22.7s,4200.0,1.37,
3888,NGC 2682 YBP 1194,Radial Velocity,,,08h51m00.81s,+11d48m52.8s,5780.0,1.01,
3889,NGC 2682 YBP 1514,Radial Velocity,,,08h51m00.77s,+11d53m11.5s,5725.0,0.96,
3890,NGC 2682 YBP 401,Radial Velocity,,,08h51m19.05s,+11d40m15.7s,6165.0,1.14,
3891,NGTS-1,Transit,85.27,0.42,05h30m51.45s,-36d37m50.8s,3916.0,0.62,0.57
3892,NGTS-10,Transit,,1.43,06h07m29.3472s,-25d35m41.6268s,4600.0,0.7,0.7
3893,NGTS-11,Transit,89.16,0.78,01h34m05.15s,-14d25m08.9s,5050.0,0.86,0.83
3894,NGTS-2,Transit,88.5,0.226,14h20m29.49s,-31d12m07.5s,6478.0,1.64,1.7
3895,NGTS-3 A,Transit,89.56,0.31,06h17m46.75s,-35d42m23.0s,5600.0,1.02,0.93
3896,NGTS-4,Transit,82.5,3.45,05h58m23.76s,-30d48m42.49s,5143.0,0.75,0.84
3897,NGTS-5,Transit,86.6,,14h44m13.9842s,+05d36m19.347s,4987.0,0.66,0.74
3898,NGTS-6,Transit,78.231,0.711,05h03m10.90s,-30d23m57.6420s,4730.0,0.77,0.75
3899,NGTS-8,Transit,86.9,0.89,21h55m54.2s,-14d04m05.85s,5241.0,0.89,0.98
3900,NGTS-9,Transit,84.1,2.93,09h27m41.0s,-19d20m50.33s,6330.0,1.34,1.38
3901,NN Ser,Eclipse Timing Variations,,,15h52m56.13s,+12d54m44.7s,57000.0,0.54,
3902,NN Ser,Eclipse Timing Variations,,,15h52m56.13s,+12d54m44.7s,57000.0,0.54,
3903,NSVS 14256825,Eclipse Timing Variations,,,20h20m00.46s,+04d37m56.52s,40000.0,0.42,0.19
3904,nu Oph,Radial Velocity,90.0,,17h59m01.59s,-09d46m25.1s,4886.0,2.7,14.6
3905,nu Oph,Radial Velocity,90.0,,17h59m01.59s,-09d46m25.1s,4886.0,2.7,14.6
3906,NY Vir,Eclipse Timing Variations,,,13h38m48.15s,-02d01m49.1s,8868.67,,
3907,NY Vir,Eclipse Timing Variations,,,13h38m48.15s,-02d01m49.1s,8868.67,,
3908,OGLE-2003-BLG-235L,Microlensing,,,18h05m16.35s,-28d53m42.0s,,0.63,
3909,OGLE-2005-BLG-071L,Microlensing,,,17h50m09.77s,-34d40m23.5s,,0.46,
3910,OGLE-2005-BLG-169L,Microlensing,,,18h06m05.32s,-30d43m57.5s,,0.69,
3911,OGLE-2005-BLG-390L,Microlensing,,,17h54m19.19s,-30d22m38.3s,,0.22,
3912,OGLE-2006-BLG-109L,Microlensing,,,17h52m34.51s,-30d05m16.0s,,0.51,
3913,OGLE-2006-BLG-109L,Microlensing,64.0,,17h52m34.51s,-30d05m16.0s,,0.51,
3914,OGLE-2007-BLG-349L A,Microlensing,,,18h05m24.43s,-26d25m19.0s,,0.41,
3915,OGLE-2007-BLG-368L,Microlensing,,,17h56m25.96s,-32d14m14.7s,,0.64,
3916,OGLE-2008-BLG-092L,Microlensing,,,17h47m29.42s,-34d43m35.6s,,0.71,
3917,OGLE-2008-BLG-355L,Microlensing,,,17h59m08.81s,-30d45m34.1s,,0.37,
3918,OGLE-2011-BLG-0173L,Microlensing,,,17h57m15.78s,-28d14m01.9s,,0.41,
3919,OGLE-2011-BLG-0251L,Microlensing,,,17h38m14.18s,-27d08m10.1s,,0.26,
3920,OGLE-2011-BLG-0265L,Microlensing,,,17h57m47.72s,-27d23m40.3s,,0.21,
3921,OGLE-2012-BLG-0026L,Microlensing,,,17h34m18.70s,-27d08m33.9s,,1.06,
3922,OGLE-2012-BLG-0026L,Microlensing,,,17h34m18.70s,-27d08m33.9s,,1.06,
3923,OGLE-2012-BLG-0358L,Microlensing,,,17h42m46.77s,-24d15m39.6s,,0.02,
3924,OGLE-2012-BLG-0406L,Microlensing,,,17h53m18.17s,-30d28m16.2s,,0.44,
3925,OGLE-2012-BLG-0563L,Microlensing,,,18h05m57.72s,-27d42m43.2s,,0.34,
3926,OGLE-2012-BLG-0724L,Microlensing,,,17h55m52.39s,-29d49m06.7s,,0.29,
3927,OGLE-2012-BLG-0838L,Microlensing,,,18h12m00.74s,-25d42m41.8s,,0.4,
3928,OGLE-2012-BLG-0950L,Microlensing,,,18h08m04.62s,-29d43m53.7s,,0.56,
3929,OGLE-2013-BLG-0102L,Microlensing,,,17h52m07.08s,-31d41m26.1s,,0.1,
3930,OGLE-2013-BLG-0132L,Microlensing,,,17h59m03.51s,-28d25m15.7s,,0.54,
