,solar_system_name,planet_discovery_method,planet_orbital_inclination,planet_density,right_ascension,declination,host_temperature,host_mass,host_radius
2601,Kepler-257,Transit,,,19h49m15.84s,+46d01m23.8s,5180.0,,1.04
2602,Kepler-257,Transit,,,19h49m15.84s,+46d01m23.8s,5180.0,,1.04
2603,Kepler-258,Transit,,,19h36m16.44s,+46d34m45.6s,4942.0,,0.92
2604,Kepler-258,Transit,,,19h36m16.44s,+46d34m45.6s,4942.0,,0.92
2605,Kepler-259,Transit,,,19h12m50.86s,+46d36m54.0s,5938.0,,0.9
2606,Kepler-259,Transit,,,19h12m50.86s,+46d36m54.0s,5938.0,,0.9
2607,Kepler-26,Transit,,1.26,18h59m45.84s,+46d33m59.5s,3914.0,0.54,0.51
2608,Kepler-26,Transit,,1.61,18h59m45.84s,+46d33m59.5s,3914.0,0.54,0.51
2609,Kepler-26,Transit,,,18h59m45.84s,+46d33m59.5s,3914.0,0.54,0.51
2610,Kepler-26,Transit,,,18h59m45.84s,+46d33m59.5s,3914.0,0.54,0.51
2611,Kepler-260,Transit,,,19h27m42.23s,+38d00m50.8s,5250.0,,0.86
2612,Kepler-260,Transit,,,19h27m42.23s,+38d00m50.8s,5250.0,,0.86
2613,Kepler-261,Transit,,,19h25m27.55s,+37d36m33.1s,5098.0,,0.79
2614,Kepler-261,Transit,,,19h25m27.55s,+37d36m33.1s,5098.0,,0.79
2615,Kepler-262,Transit,,,19h22m54.88s,+37d15m09.5s,5841.0,,0.88
2616,Kepler-262,Transit,,,19h22m54.88s,+37d15m09.5s,5841.0,,0.88
2617,Kepler-263,Transit,,,19h29m52.74s,+37d34m04.1s,5265.0,,0.79
2618,Kepler-263,Transit,,,19h29m52.74s,+37d34m04.1s,5265.0,,0.79
2619,Kepler-264,Transit,,,19h28m10.71s,+37d22m34.5s,6158.0,,1.55
2620,Kepler-264,Transit,,,19h28m10.71s,+37d22m34.5s,6158.0,,1.55
2621,Kepler-265,Transit,,,19h22m02.51s,+41d14m41.4s,5835.0,,1.1
2622,Kepler-265,Transit,,,19h22m02.51s,+41d14m41.4s,5835.0,,1.1
2623,Kepler-265,Transit,,,19h22m02.51s,+41d14m41.4s,5835.0,,1.1
2624,Kepler-265,Transit,,,19h22m02.51s,+41d14m41.4s,5835.0,,1.1
2625,Kepler-266,Transit,,,19h37m56.25s,+44d10m00.9s,5885.0,,1.03
2626,Kepler-266,Transit,,,19h37m56.25s,+44d10m00.9s,5885.0,,1.03
2627,Kepler-267,Transit,,,19h59m19.29s,+47d09m26.9s,4258.0,,0.56
2628,Kepler-267,Transit,,,19h59m19.29s,+47d09m26.9s,4258.0,,0.56
2629,Kepler-267,Transit,,,19h59m19.29s,+47d09m26.9s,4258.0,,0.56
2630,Kepler-268,Transit,,,19h27m54.28s,+38d03m18.3s,6081.0,,1.27
2631,Kepler-268,Transit,,,19h27m54.28s,+38d03m18.3s,6081.0,,1.27
2632,Kepler-269,Transit,,,19h20m51.64s,+41d46m33.5s,5847.0,,0.96
2633,Kepler-269,Transit,,,19h20m51.64s,+41d46m33.5s,5847.0,,0.96
2634,Kepler-27,Transit,,,19h28m56.82s,+41d05m09.2s,5400.0,0.65,0.59
2635,Kepler-27,Transit,,,19h28m56.82s,+41d05m09.2s,5400.0,0.65,0.59
2636,Kepler-270,Transit,,,18h48m48.02s,+44d25m20.3s,6067.0,,1.46
2637,Kepler-270,Transit,,,18h48m48.02s,+44d25m20.3s,6067.0,,1.46
2638,Kepler-271,Transit,,,18h52m00.72s,+44d17m03.2s,5555.0,0.9,0.87
2639,Kepler-271,Transit,,,18h52m00.72s,+44d17m03.2s,5555.0,0.9,0.87
2640,Kepler-271,Transit,,,18h52m00.72s,+44d17m03.2s,5555.0,0.9,0.87
2641,Kepler-272,Transit,,,19h56m30.61s,+47d35m37.8s,5297.0,,0.93
2642,Kepler-272,Transit,,,19h56m30.61s,+47d35m37.8s,5297.0,,0.93
2643,Kepler-272,Transit,,,19h56m30.61s,+47d35m37.8s,5297.0,,0.93
2644,Kepler-273,Transit,,,19h25m12.53s,+47d41m51.9s,5626.0,,0.81
2645,Kepler-273,Transit,,,19h25m12.53s,+47d41m51.9s,5626.0,,0.81
2646,Kepler-274,Transit,,,19h31m41.47s,+38d28m38.2s,6023.0,,1.01
2647,Kepler-274,Transit,,,19h31m41.47s,+38d28m38.2s,6023.0,,1.01
2648,Kepler-275,Transit,,,19h29m55.13s,+38d30m53.7s,6165.0,,1.38
2649,Kepler-275,Transit,,,19h29m55.13s,+38d30m53.7s,6165.0,,1.38
2650,Kepler-275,Transit,,,19h29m55.13s,+38d30m53.7s,6165.0,,1.38
2651,Kepler-276,Transit,,,19h34m16.36s,+39d02m10.8s,6105.0,,1.05
2652,Kepler-276,Transit,,,19h34m16.36s,+39d02m10.8s,6105.0,,1.05
2653,Kepler-276,Transit,,,19h34m16.36s,+39d02m10.8s,6105.0,,1.05
2654,Kepler-277,Transit,,,19h06m19.96s,+39d04m38.0s,5946.0,,1.65
2655,Kepler-277,Transit,,,19h06m19.96s,+39d04m38.0s,5946.0,,1.65
2656,Kepler-278,Transit,,,19h20m25.73s,+38d42m08.0s,4991.0,,2.94
2657,Kepler-278,Transit,,,19h20m25.73s,+38d42m08.0s,4991.0,,2.94
2658,Kepler-279,Transit,,,19h09m33.89s,+42d11m41.4s,6363.0,,1.75
2659,Kepler-279,Transit,,,19h09m33.89s,+42d11m41.4s,6363.0,,1.75
2660,Kepler-279,Transit,,,19h09m33.89s,+42d11m41.4s,6363.0,,1.75
2661,Kepler-28,Transit,,,19h28m32.89s,+42d25m45.9s,4590.0,0.75,0.7
2662,Kepler-28,Transit,,,19h28m32.89s,+42d25m45.9s,4590.0,0.75,0.7
2663,Kepler-280,Transit,,,19h25m33.72s,+42d10m50.1s,5744.0,,0.89
2664,Kepler-280,Transit,,,19h25m33.72s,+42d10m50.1s,5744.0,,0.89
2665,Kepler-281,Transit,,,19h36m25.97s,+44d46m14.5s,5723.0,,0.9
2666,Kepler-281,Transit,,,19h36m25.97s,+44d46m14.5s,5723.0,,0.9
2667,Kepler-282,Transit,,,18h58m42.55s,+44d47m51.7s,5602.0,,0.9
2668,Kepler-282,Transit,,,18h58m42.55s,+44d47m51.7s,5602.0,,0.9
2669,Kepler-282,Transit,,,18h58m42.55s,+44d47m51.7s,5602.0,,0.9
2670,Kepler-282,Transit,,,18h58m42.55s,+44d47m51.7s,5602.0,,0.9
2671,Kepler-283,Transit,,,19h34m27.29s,+47d50m20.4s,4351.0,,0.57
2672,Kepler-283,Transit,,,19h34m27.29s,+47d50m20.4s,4351.0,,0.57
2673,Kepler-284,Transit,,,19h32m35.16s,+47d43m46.7s,5615.0,,0.81
2674,Kepler-284,Transit,,,19h32m35.16s,+47d43m46.7s,5615.0,,0.81
2675,Kepler-285,Transit,,,19h25m33.82s,+48d03m56.2s,5411.0,,0.81
2676,Kepler-285,Transit,,,19h25m33.82s,+48d03m56.2s,5411.0,,0.81
2677,Kepler-286,Transit,,,19h22m42.27s,+48d17m39.4s,5580.0,,0.86
2678,Kepler-286,Transit,,,19h22m42.27s,+48d17m39.4s,5580.0,,0.86
2679,Kepler-286,Transit,,,19h22m42.27s,+48d17m39.4s,5580.0,,0.86
2680,Kepler-286,Transit,,,19h22m42.27s,+48d17m39.4s,5580.0,,0.86
2681,Kepler-287,Transit,,,19h23m42.59s,+48d26m36.8s,5806.0,,1.03
2682,Kepler-287,Transit,,,19h23m42.59s,+48d26m36.8s,5806.0,,1.03
2683,Kepler-288,Transit,,,19h15m39.94s,+39d35m41.0s,5918.0,,1.09
2684,Kepler-288,Transit,,,19h15m39.94s,+39d35m41.0s,5918.0,,1.09
2685,Kepler-288,Transit,,,19h15m39.94s,+39d35m41.0s,5918.0,,1.09
2686,Kepler-289,Transit,89.59,4.1,19h49m51.68s,+42d52m58.3s,5990.0,1.08,1.0
2687,Kepler-289,Transit,89.794,0.47,19h49m51.68s,+42d52m58.3s,5990.0,1.08,1.0
2688,Kepler-289,Transit,89.73,1.2,19h49m51.68s,+42d52m58.3s,5990.0,1.08,1.0
2689,Kepler-29,Transit,89.13,1.65,19h53m23.60s,+47d29m28.4s,5378.0,0.76,0.73
2690,Kepler-29,Transit,,1.91,19h53m23.60s,+47d29m28.4s,5378.0,0.76,0.73
2691,Kepler-290,Transit,,,19h05m38.40s,+42d40m53.6s,5147.0,,0.74
2692,Kepler-290,Transit,,,19h05m38.40s,+42d40m53.6s,5147.0,,0.74
2693,Kepler-291,Transit,,,19h11m39.93s,+42d26m14.3s,6002.0,,1.02
2694,Kepler-291,Transit,,,19h11m39.93s,+42d26m14.3s,6002.0,,1.02
2695,Kepler-292,Transit,,,19h43m03.87s,+42d25m27.4s,5299.0,,0.83
2696,Kepler-292,Transit,,,19h43m03.87s,+42d25m27.4s,5299.0,,0.83
2697,Kepler-292,Transit,,,19h43m03.87s,+42d25m27.4s,5299.0,,0.83
2698,Kepler-292,Transit,,,19h43m03.87s,+42d25m27.4s,5299.0,,0.83
2699,Kepler-292,Transit,,,19h43m03.87s,+42d25m27.4s,5299.0,,0.83
2700,Kepler-293,Transit,,,19h05m25.93s,+42d24m23.4s,5804.0,,0.96
2701,Kepler-293,Transit,,,19h05m25.93s,+42d24m23.4s,5804.0,,0.96
2702,Kepler-294,Transit,,,19h09m34.08s,+46d03m33.5s,5913.0,,0.98
2703,Kepler-294,Transit,,,19h09m34.08s,+46d03m33.5s,5913.0,,0.98
2704,Kepler-295,Transit,,,19h01m23.00s,+45d22m04.0s,5603.0,,0.9
2705,Kepler-295,Transit,,,19h01m23.00s,+45d22m04.0s,5603.0,,0.9
2706,Kepler-295,Transit,,,19h01m23.00s,+45d22m04.0s,5603.0,,0.9
2707,Kepler-296,Transit,,,19h06m09.60s,+49d26m14.4s,3740.0,0.5,0.48
2708,Kepler-296,Transit,,,19h06m09.60s,+49d26m14.4s,3740.0,0.5,0.48
2709,Kepler-296,Transit,,,19h06m09.60s,+49d26m14.4s,3740.0,0.5,0.48
2710,Kepler-296,Transit,,,19h06m09.60s,+49d26m14.4s,3740.0,0.5,0.48
2711,Kepler-296,Transit,,,19h06m09.60s,+49d26m14.4s,3740.0,0.5,0.48
2712,Kepler-297,Transit,,,18h52m50.20s,+48d46m39.5s,5619.0,,0.92
2713,Kepler-297,Transit,,,18h52m50.20s,+48d46m39.5s,5619.0,,0.92
2714,Kepler-298,Transit,,,18h52m09.55s,+48d49m31.3s,4465.0,,0.58
2715,Kepler-298,Transit,,,18h52m09.55s,+48d49m31.3s,4465.0,,0.58
2716,Kepler-298,Transit,,,18h52m09.55s,+48d49m31.3s,4465.0,,0.58
2717,Kepler-299,Transit,,,18h52m49.67s,+48d34m49.8s,5617.0,,1.03
2718,Kepler-299,Transit,,,18h52m49.67s,+48d34m49.8s,5617.0,,1.03
2719,Kepler-299,Transit,,,18h52m49.67s,+48d34m49.8s,5617.0,,1.03
2720,Kepler-299,Transit,,,18h52m49.67s,+48d34m49.8s,5617.0,,1.03
2721,Kepler-30,Transit,90.179,1.02,19h01m08.07s,+38d56m50.2s,5498.0,0.99,0.95
2722,Kepler-30,Transit,90.323,1.88,19h01m08.07s,+38d56m50.2s,5498.0,0.99,0.95
